ID,bicycle,bus,car,e_scooter,light_rail,other,regional_train,train,walk
99,0.0,0.0,50.33,0.0,0.0,0.0,0.0,0.0,0.08
100,0.0,0.0,20.119999999999997,0.0,0.0,0.0,0.0,0.0,0.12
101,0.0,0.0,20.09,0.0,0.0,0.0,0.0,0.0,0.1
102,0.0,0.0,20.03,0.0,0.0,0.0,0.0,0.0,0.11
103,0.0,0.0,19.97,0.0,0.0,0.0,0.0,0.0,0.15
104,0.0,0.0,3.17,0.0,0.0,0.0,0.0,0.0,0.05
105,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.15
106,0.0,0.0,4.09,0.0,0.0,0.0,0.0,0.0,0.2
107,0.0,0.0,4.91,0.0,0.0,0.0,0.0,0.0,0.09000000000000001
108,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.13
109,0.0,0.0,5.3100000000000005,0.0,0.0,0.0,0.0,0.0,0.63
110,0.0,0.0,4.29,0.0,0.0,0.0,0.0,0.0,0.23999999999999996
111,0.0,0.0,3.98,0.0,0.0,0.0,0.0,0.0,0.14
112,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.1
113,4.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
114,0.0,0.0,62.56,0.0,0.0,0.0,0.0,0.0,0.11
115,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
116,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.14
117,0.0,0.0,4.359999999999999,0.0,0.0,0.0,0.0,0.0,0.04
118,0.0,0.0,3.8899999999999997,0.0,0.0,0.0,0.0,0.0,0.29000000000000004
119,0.0,0.0,5.43,0.0,0.0,0.0,0.0,0.0,0.12
120,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
121,4.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999999999999
122,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,11.31,0.0,0.0,0.0,0.0,0.0,0.0
124,0.0,0.42,0.58,0.0,0.0,0.0,11.8,0.0,0.21
125,0.0,0.0,0.0,0.0,0.0,0.0,10.65,0.0,0.4800000000000001
126,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.36
127,0.0,0.0,2.79,0.0,0.0,0.0,5.58,0.0,0.19999999999999998
128,0.0,0.0,0.0,0.0,0.0,0.0,10.64,0.0,0.6699999999999999
129,0.0,0.0,12.93,0.0,0.0,0.0,0.0,0.0,0.25
130,0.0,0.0,0.0,0.0,0.0,0.0,12.06,0.0,0.36
131,0.0,0.0,0.0,0.0,0.0,0.0,11.48,0.0,0.6300000000000001
132,0.0,0.0,14.76,0.0,0.0,0.0,0.0,0.0,0.08
133,0.0,0.0,0.0,0.0,0.0,0.0,11.95,0.0,0.39
134,0.0,0.0,19.33,0.0,0.0,0.0,0.0,0.0,0.18000000000000002
135,0.0,0.0,19.880000000000003,0.0,0.0,0.0,0.0,0.0,0.12000000000000001
136,0.0,0.0,20.23,0.0,0.0,0.0,0.0,0.0,0.02
137,0.0,0.0,21.939999999999998,0.0,0.0,0.0,0.0,0.0,0.08
138,0.0,0.0,21.45,0.0,0.0,0.0,0.0,0.0,0.01
139,0.0,0.0,20.97,0.0,0.0,0.0,0.0,0.0,0.0
140,0.0,0.0,21.47,0.0,0.0,0.0,0.0,0.0,0.0
