ID,car,other
151,0.0,1.51
152,0.0,0.3
153,1.62,0.08
154,0.8400000000000001,0.21999999999999997
155,0.76,0.04
156,0.69,0.55
157,0.0,0.43000000000000005
158,1.45,0.75
159,0.3,1.58
160,4.58,0.43000000000000005
161,18.94,0.09
162,0.37,0.06
163,0.24,0.29
164,3.27,0.09
165,2.6,0.78
166,21.14,0.0
167,0.38,0.060000000000000005
168,0.0,0.03
169,0.0,0.07
170,0.3,0.5700000000000001
171,14.63,0.0
172,0.17,0.51
173,1.29,0.6500000000000001
174,0.0,0.99
175,1.25,0.6000000000000001
176,3.2199999999999998,0.8400000000000001
177,12.09,0.0
178,0.0,0.01
179,0.0,0.06
180,0.0,0.6000000000000001
181,0.0,0.15
182,0.0,0.66
183,3.42,0.02
184,1.24,0.0
185,0.0,0.36
186,0.0,0.9000000000000001
187,0.0,0.99
188,0.0,0.11
189,0.0,0.14
190,0.0,0.11
191,0.0,0.25
192,0.0,1.4100000000000004
193,0.0,0.26
194,0.0,0.11
195,0.0,1.05
196,0.0,0.99
197,0.0,1.02
198,0.0,0.53
199,0.0,0.69
200,0.0,0.65
201,0.0,0.11
202,0.0,0.5900000000000001
203,0.0,1.9
204,0.0,0.19
205,0.0,12.43
206,0.0,1.2999999999999998
207,0.0,0.27
208,0.0,0.38
209,0.21000000000000002,1.4
210,0.0,0.11
211,0.0,0.52
212,0.0,0.35
213,0.0,0.12000000000000001
214,0.0,0.11
215,0.0,0.14
216,0.0,0.27
217,0.0,0.30000000000000004
218,0.0,20.26
219,2.54,0.03
220,2.35,0.03
221,18.6,0.0
222,0.8300000000000001,0.06999999999999999
223,17.52,0.0
224,1.3900000000000001,0.05
225,0.8,0.01
226,0.0,0.19
227,0.0,1.1800000000000002
228,0.0,0.38
229,0.0,6.279999999999999
230,1.7,2.63
231,0.0,4.54
232,0.0,0.33999999999999997
233,0.0,0.01
234,0.0,0.02
235,0.0,0.41000000000000003
236,0.0,17.41
237,0.0,15.82
238,0.0,0.01
239,0.0,0.08
240,0.0,0.15
241,0.0,0.19
242,0.0,0.22
243,1.9500000000000002,0.0
244,24.2,0.37
245,0.0,0.52
246,0.0,0.17
247,0.0,34.089999999999996
248,0.0,0.93
249,0.0,0.26
250,7.23,0.0
251,0.0,0.39
252,0.0,25.119999999999997
253,0.0,0.24
254,0.0,0.39
255,0.0,9.579999999999998
256,1.62,0.03
257,16.0,0.03
258,0.0,9.370000000000001
259,0.0,9.09
260,12.46,0.21
261,0.0,1.01
262,0.0,0.31
263,0.0,1.5
264,0.0,0.23
265,0.0,0.06999999999999999
266,0.0,0.32
267,0.0,0.15999999999999998
268,0.0,0.21
269,0.0,9.839999999999998
270,0.0,13.399999999999999
271,0.0,6.85
272,0.0,12.56
273,0.0,9.75
274,9.74,3.8
275,3.02,0.16
276,3.62,0.16
277,3.66,0.04
278,3.62,0.1
279,3.55,0.05
280,0.0,13.040000000000001
281,0.0,12.23
282,0.0,12.7
283,0.0,11.22
284,0.0,8.98
285,0.0,13.11
286,0.0,13.07
287,0.0,12.74
288,0.0,13.16
289,0.0,0.8500000000000001
290,1.3900000000000001,0.47000000000000003
291,7.85,1.15
292,0.0,5.31
293,0.0,0.66
294,0.0,0.98
295,0.0,1.87
296,0.0,1.0899999999999999
297,0.0,0.95
298,0.0,0.54
299,0.0,0.49
300,0.0,5.52
301,1.5,7.69
302,0.47,0.02
303,0.0,3.02
304,10.27,0.06
305,23.72,0.0
306,0.0,7.04
307,11.31,0.02
308,0.16,7.26
309,10.190000000000001,0.07
310,0.83,3.29
311,0.0,6.58
312,0.0,6.66
313,0.0,6.54
314,0.0,6.8100000000000005
315,0.0,7.510000000000001
316,7.92,0.4
317,10.879999999999999,0.10999999999999999
318,7.15,0.11000000000000001
319,3.6,0.0
320,3.94,0.17
321,4.08,0.73
322,0.0,6.21
323,0.0,1.6900000000000002
324,22.06,0.44999999999999996
325,0.0,0.56
326,0.0,1.2799999999999998
327,1.11,12.35
328,0.0,1.6300000000000001
329,0.32,1.1400000000000001
330,0.0,0.52
331,0.16,0.6799999999999999
332,0.0,0.68
333,0.0,1.03
334,0.0,0.37
335,0.0,13.620000000000001
336,0.0,3.77
337,0.0,3.95
338,0.0,3.9
339,0.94,2.9800000000000004
340,0.0,3.86
341,2.87,0.21
342,0.0,3.7800000000000002
343,0.0,3.79
344,0.0,3.85
345,0.0,3.8800000000000003
346,0.0,3.74
347,0.63,2.35
348,0.0,3.8699999999999997
349,0.0,2.24
350,0.0,10.549999999999999
351,0.0,0.9299999999999999
352,0.15,0.68
353,0.0,0.09000000000000001
354,4.45,2.1100000000000003
355,0.0,0.64
356,1.66,1.92
357,17.1,0.01
358,17.96,0.0
359,17.979999999999997,0.08
360,11.29,0.05
361,0.0,0.25
362,0.15,0.15
363,0.42,0.74
364,0.30000000000000004,0.43000000000000005
365,0.27,1.46
366,1.04,2.3800000000000003
367,2.3899999999999997,0.37
368,1.05,0.77
369,0.97,0.94
370,0.29000000000000004,0.26
371,4.1899999999999995,0.02
372,0.84,1.65
373,1.99,0.14
374,0.0,1.54
375,2.42,0.11
376,2.66,0.0
377,21.37,0.0
378,0.07,0.17
379,0.24000000000000002,1.66
380,0.37,0.13
381,3.71,0.25
382,0.92,0.04
383,18.03,0.0
384,17.08,0.0
385,0.54,14.57
386,0.44,0.51
387,3.2600000000000002,0.30000000000000004
388,0.93,1.24
389,0.89,0.81
390,1.54,0.18
391,11.71,0.31
392,0.0,1.14
393,0.0,9.409999999999998
394,7.02,0.0
395,0.5,0.0
396,2.1,5.38
397,0.57,3.26
398,61.910000000000004,0.09000000000000001
399,0.8,0.01
400,2.11,0.38
401,1.3699999999999999,0.58
402,0.0,0.11
403,1.7899999999999998,0.27999999999999997
404,0.0,1.28
405,14.89,0.11000000000000001
406,0.0,2.5700000000000003
407,1.19,0.5599999999999999
408,0.7200000000000001,0.43000000000000005
409,3.92,0.15000000000000002
410,0.22,1.19
411,3.0300000000000002,0.23
412,33.95,0.0
413,2.8600000000000003,0.04
414,9.27,0.03
415,1.02,0.01
416,16.12,0.0
417,1.21,0.0
418,0.0,1.09
419,1.4,0.0
420,0.0,10.83
421,0.0,12.2
422,0.0,0.99
423,0.0,0.91
424,0.0,3.75
425,0.0,0.62
426,0.0,0.72
427,0.0,1.01
428,0.0,0.72
429,0.0,1.7800000000000002
430,0.0,1.0
431,0.0,6.409999999999999
432,0.0,5.61
433,0.0,0.6100000000000001
434,0.0,0.08
435,0.0,3.5799999999999996
436,0.0,4.9399999999999995
437,0.0,4.1899999999999995
438,0.0,1.02
439,8.21,0.02
440,8.34,0.06
441,8.3,0.03
442,8.61,0.04
443,8.27,0.43000000000000005
444,8.29,0.13
445,8.0,0.02
446,8.21,0.14
447,2.0100000000000002,0.26
448,10.17,0.0
449,3.3,0.24
450,3.5,0.16
451,9.48,0.02
452,6.19,0.03
453,3.29,0.0
454,5.83,0.1
455,2.19,1.27
456,4.5600000000000005,0.04
457,1.06,0.06
458,10.75,0.03
459,0.0,0.27
460,0.0,0.24000000000000002
461,0.0,2.7199999999999998
462,0.0,2.6999999999999997
463,0.0,2.64
464,0.0,2.59
465,0.0,2.66
466,0.0,1.28
467,0.0,2.61
468,0.0,2.5500000000000003
469,0.0,10.87
470,0.0,8.06
471,1.69,0.18
472,1.07,1.96
473,1.54,1.77
474,0.0,3.0
475,0.0,1.59
476,0.0,1.45
477,0.0,3.19
478,5.66,2.2299999999999995
479,0.0,3.1
480,2.67,2.95
481,0.0,3.7499999999999996
482,0.0,2.9499999999999997
483,1.9700000000000002,1.1099999999999999
484,0.0,3.3400000000000003
485,4.859999999999999,2.33
486,5.34,1.44
487,3.6100000000000003,1.4500000000000002
488,2.61,1.63
489,1.52,1.56
490,0.72,2.42
491,0.47,0.55
492,0.75,0.33
493,0.0,0.57
494,0.1,0.21000000000000002
495,10.35,0.04
496,4.4399999999999995,0.56
497,0.0,12.26
498,24.2,0.47000000000000003
499,0.0,0.87
500,0.0,0.53
501,0.0,34.38
502,0.0,2.2600000000000002
503,0.0,3.3200000000000003
504,0.0,3.1999999999999997
505,0.0,3.2
506,0.0,2.92
507,3.6399999999999997,0.03
508,0.0,2.13
509,0.0,0.11
510,0.0,0.66
511,0.68,0.8400000000000001
512,1.65,1.31
513,4.1,0.43000000000000005
514,1.96,0.21000000000000002
515,4.05,0.08
516,5.02,0.72
517,1.4900000000000002,1.1800000000000002
518,2.1799999999999997,0.52
519,1.54,0.22
520,1.8199999999999998,1.94
521,2.63,0.9800000000000001
522,1.73,0.03
523,2.75,0.31
524,1.6400000000000001,0.64
525,16.82,0.0
526,16.84,0.43
527,2.0199999999999996,0.4700000000000001
528,5.11,0.3
529,0.0,0.21
530,1.6099999999999999,0.1
531,1.56,0.44999999999999996
532,1.63,2.1900000000000004
533,1.8,0.77
534,4.04,1.85
535,2.0700000000000003,2.9799999999999995
536,0.0,3.02
537,0.28,2.78
538,0.0,2.900000000000001
539,2.59,2.99
540,2.4800000000000004,0.12
541,0.0,2.7299999999999995
542,0.6,0.0
543,0.0,0.28
544,0.0,2.25
545,0.0,2.4400000000000004
546,0.0,2.55
547,0.0,4.15
548,0.0,3.37
549,2.28,0.0
550,28.47,0.04
551,0.0,0.15000000000000002
552,0.32,0.0
553,1.55,0.14
